date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,views,comments,likes,dislikes,shares,watch_time_minutes,average_view_duration_seconds,average_view_duration_percentage,annotation_impressions,annotation_clickable_impressions,annotation_clicks,annotation_click_through_rate,annotation_closable_impressions,annotation_closes,annotation_close_rate,card_teaser_impressions,card_teaser_clicks,card_teaser_click_rate,card_impressions,card_clicks,card_click_rate,subscribers_gained,subscribers_lost,videos_added_to_playlists,videos_removed_from_playlists,red_views,red_watch_time_minutes
20230929,b3aae0c1-8e21-4100-9def-5093d454022f,a5ce5123-bc8f-432f-af10-5b7046808e77,live,subscribed,US,445,116,299,18,481,8409.674441486128,2061.1962763627776,0.708331,650,368,186,0.6334718474968524,170,193,0.097341703681877,265,388,0.4423590723754539,86,151,0.11678554597347846,56,245,426,456,72,2911.884575799377
20230924,b3aae0c1-8e21-4100-9def-5093d454022f,cae7a02f-b2b3-4619-ad4d-620f470a7182,live,not_subscribed,US,4318,432,703,444,255,9527.587898133446,725.5770461194247,0.665842,617,197,148,0.7287590316519327,66,250,0.31749847349237004,988,159,0.5326508572991019,750,407,0.9351337076979466,579,21,392,129,999,2740.102883110553
20230926,b3aae0c1-8e21-4100-9def-5093d454022f,723ad3be-64b7-4c4e-8086-85ea199c2979,live,subscribed,BA,8349,305,648,475,129,8398.301331398992,1156.8750316596982,0.690647,933,1,89,0.5093458245798529,412,217,0.30759761178906886,602,11,0.468513555721205,709,391,0.3147236345878135,361,365,964,485,366,1536.4134331518742
20230929,b3aae0c1-8e21-4100-9def-5093d454022f,a5e5043e-d12f-4ebd-aa76-f27de0d1bdbb,live,subscribed,US,460,345,309,802,415,5200.640456294832,1337.1124527501404,0.771962,885,285,41,0.37456807757885024,60,3,0.5862915396273402,429,108,0.2212467537507551,857,447,0.14060440001905428,434,80,630,197,895,9345.398198444982
20230929,b3aae0c1-8e21-4100-9def-5093d454022f,a5e5043e-d12f-4ebd-aa76-f27de0d1bdbb,live,subscribed,CZ,4822,301,858,858,57,9681.935481946097,2748.612015030976,0.87421,432,472,122,0.5633721988394276,71,207,0.9591819429494544,22,384,0.027989601546609233,62,234,0.9134767781654529,43,368,215,112,836,1156.5306751043304
20230924,b3aae0c1-8e21-4100-9def-5093d454022f,723ad3be-64b7-4c4e-8086-85ea199c2979,live,not_subscribed,FM,9940,25,750,505,455,8831.301427869848,1463.7598287864014,0.279087,544,129,218,0.7667834086824633,235,166,0.5175057305116554,590,128,0.26508064537302356,944,292,0.30462068790714525,97,95,299,129,320,9964.380525530407
20230927,b3aae0c1-8e21-4100-9def-5093d454022f,723ad3be-64b7-4c4e-8086-85ea199c2979,live,subscribed,US,5712,7,186,665,308,8902.787820609026,1255.873593377491,0.078057,657,206,231,0.17174690800638936,487,63,0.41104078001804134,421,400,0.6986643483202223,481,341,0.6693398692941059,520,121,962,46,302,6620.719593027859
20230925,b3aae0c1-8e21-4100-9def-5093d454022f,a5ce5123-bc8f-432f-af10-5b7046808e77,on_demand,not_subscribed,US,3231,481,319,376,148,5192.794033367319,1226.6753588549684,0.326134,439,73,33,0.8190974912276268,278,221,0.8147581415197702,982,375,0.11343010217585225,354,10,0.19201450570757428,212,377,902,59,665,6423.148438570436
20230925,b3aae0c1-8e21-4100-9def-5093d454022f,45fc30f6-2682-42eb-8a7b-cc51d8077c48,live,subscribed,US,7429,69,167,590,390,4425.6801056565655,237.7213828791951,0.820863,911,148,22,0.8642747296142785,441,39,0.8459646373673614,320,243,0.07166086264546534,629,277,0.5687500715140138,480,467,823,101,148,4337.015240547049
20231001,b3aae0c1-8e21-4100-9def-5093d454022f,723ad3be-64b7-4c4e-8086-85ea199c2979,live,subscribed,PH,9839,163,782,261,64,9416.341870077555,57.599746229068714,0.374297,980,314,67,0.5527716538102891,116,162,0.813817523490108,988,84,0.8235259374698759,859,242,0.48489003613337034,367,249,713,248,172,5031.2789644253735
20230929,b3aae0c1-8e21-4100-9def-5093d454022f,723ad3be-64b7-4c4e-8086-85ea199c2979,on_demand,subscribed,PH,7833,184,149,728,91,7911.526999620334,2470.136733257653,0.431265,789,360,21,0.8629370370393736,410,133,0.8498080074880642,365,349,0.9403574419086012,24,387,0.25929571369103344,232,482,238,277,196,335.71839979742555
20230924,b3aae0c1-8e21-4100-9def-5093d454022f,45fc30f6-2682-42eb-8a7b-cc51d8077c48,on_demand,subscribed,NP,7828,301,542,179,320,8515.2433893029,833.9183339350662,0.017267,375,484,249,0.8707331352284687,47,126,0.6642442637704127,913,329,0.7630610547974392,459,190,0.12657975672632948,867,1,236,334,521,1810.767427216925
20230927,b3aae0c1-8e21-4100-9def-5093d454022f,a5ce5123-bc8f-432f-af10-5b7046808e77,on_demand,subscribed,TD,2270,216,231,708,414,538.3473923399962,1330.6474033103264,0.195643,122,429,217,0.964081969079758,484,135,0.666710513586815,700,318,0.6657297068816109,305,427,0.6686194874478477,311,387,739,106,77,6344.788720743788
20230927,b3aae0c1-8e21-4100-9def-5093d454022f,723ad3be-64b7-4c4e-8086-85ea199c2979,live,subscribed,MX,1168,209,27,442,175,7462.732617896992,224.5726513777434,0.226686,465,221,208,0.6791322409545499,188,165,0.402479215065339,739,25,0.8787460867019932,520,88,0.06453308671100522,357,251,673,213,997,3455.83606730849
20230927,b3aae0c1-8e21-4100-9def-5093d454022f,723ad3be-64b7-4c4e-8086-85ea199c2979,live,subscribed,TL,475,266,778,240,324,4635.991109029131,2794.34571204951,0.428198,167,427,51,0.08196974195740026,452,51,0.7999199379627376,301,122,0.15681993834563634,683,466,0.7811380379616373,756,10,869,163,83,4740.526815821675
20230924,b3aae0c1-8e21-4100-9def-5093d454022f,45fc30f6-2682-42eb-8a7b-cc51d8077c48,on_demand,not_subscribed,LR,7420,304,350,890,491,1311.0649016088817,186.85827369533524,0.361441,480,46,178,0.4213883100080559,473,148,0.3295927112200535,360,303,0.9540352341132131,922,19,0.8160671334554577,993,310,138,14,123,2615.396014889266
20230926,b3aae0c1-8e21-4100-9def-5093d454022f,a5e5043e-d12f-4ebd-aa76-f27de0d1bdbb,on_demand,subscribed,DJ,690,238,153,117,445,9260.10027629456,234.44548127900444,0.762898,647,434,169,0.9701748489381696,265,130,0.2967084494666443,421,495,0.14980709065829068,373,290,0.6220505031596001,488,48,12,158,127,8140.137243858669
20230928,b3aae0c1-8e21-4100-9def-5093d454022f,723ad3be-64b7-4c4e-8086-85ea199c2979,on_demand,subscribed,LT,4254,137,246,899,201,2306.093792812284,630.7596041562807,0.798276,98,74,64,0.7681142586866453,5,126,0.4794174165297421,455,279,0.8106862568753974,905,320,0.9820970960826053,278,138,542,197,4,6356.786729942752
20231001,b3aae0c1-8e21-4100-9def-5093d454022f,a5e5043e-d12f-4ebd-aa76-f27de0d1bdbb,on_demand,subscribed,US,2442,118,267,803,358,8231.71799265747,1269.7179818166896,0.648266,503,456,166,0.9146218053014988,147,176,0.9863544761438388,75,440,0.5646202741594594,379,52,0.2652226152338095,123,433,577,348,893,9897.242517511751
20230927,b3aae0c1-8e21-4100-9def-5093d454022f,cae7a02f-b2b3-4619-ad4d-620f470a7182,on_demand,subscribed,US,7018,489,406,236,135,5188.799815829316,1817.871249894495,0.730115,652,71,240,0.08758352839768102,84,84,0.6378453322820422,97,306,0.4322866945772147,989,399,0.6821039542019443,817,160,311,455,566,7602.509228577033
20230924,b3aae0c1-8e21-4100-9def-5093d454022f,cae7a02f-b2b3-4619-ad4d-620f470a7182,live,not_subscribed,US,3274,129,594,201,165,2014.577598045869,2473.5979708752143,0.568728,112,18,213,0.7711817190824092,166,122,0.533229423497866,843,103,0.7255631433402792,725,441,0.6471582316885056,153,304,524,97,750,1019.119243647858
20230926,b3aae0c1-8e21-4100-9def-5093d454022f,723ad3be-64b7-4c4e-8086-85ea199c2979,live,subscribed,NR,9624,247,412,789,307,2941.431442520344,2728.2965908641354,0.108804,972,107,128,0.609211682885787,428,97,0.34953028350242676,299,127,0.9128512885290638,594,244,0.6314648780001595,494,82,190,238,531,9037.5516151981
20230924,b3aae0c1-8e21-4100-9def-5093d454022f,45fc30f6-2682-42eb-8a7b-cc51d8077c48,live,subscribed,FM,529,252,57,198,404,4933.1351378842755,794.6708552679506,0.117566,45,148,182,0.37430025244698883,135,133,0.8785433850643791,660,126,0.31652807883657585,870,459,0.25764633734864006,176,279,94,185,8,7554.4853198917435
20230925,b3aae0c1-8e21-4100-9def-5093d454022f,45fc30f6-2682-42eb-8a7b-cc51d8077c48,on_demand,subscribed,TG,8545,295,743,119,17,2802.4368190147698,1659.150735043556,0.420046,192,370,43,0.7518080549992828,193,212,0.42247126321126116,214,464,0.11170220700530897,439,424,0.38683353859853764,190,433,866,420,902,2831.1903106317413
20230929,b3aae0c1-8e21-4100-9def-5093d454022f,45fc30f6-2682-42eb-8a7b-cc51d8077c48,live,not_subscribed,US,4943,441,315,389,416,2202.8823788536665,2316.758434761039,0.163093,971,352,203,0.5034630971223328,174,28,0.336035349719918,673,391,0.9518412058973355,723,229,0.32955259224069766,539,460,423,28,295,4648.084403452583
20231001,b3aae0c1-8e21-4100-9def-5093d454022f,a5e5043e-d12f-4ebd-aa76-f27de0d1bdbb,on_demand,not_subscribed,US,8964,302,443,246,204,7909.120597587711,1162.1782376020192,0.161899,206,182,23,0.2113794226142771,478,3,0.2230174673856754,51,409,0.12359116236717871,250,497,0.5564232846747973,676,278,85,396,341,4626.8587214684885
20230929,b3aae0c1-8e21-4100-9def-5093d454022f,45fc30f6-2682-42eb-8a7b-cc51d8077c48,live,not_subscribed,UG,5705,164,300,609,290,3075.20176289,2822.1823010937233,0.959067,16,398,174,0.6563322464738988,329,9,0.29809511940526656,920,418,0.5341299209116002,926,449,0.551382730573405,380,345,924,110,985,3428.118176244721
20230926,b3aae0c1-8e21-4100-9def-5093d454022f,cae7a02f-b2b3-4619-ad4d-620f470a7182,on_demand,subscribed,PA,3219,181,819,198,75,3837.7861709742456,2547.633162152017,0.301146,463,78,242,0.3738085396333034,426,8,0.6027307375715638,765,478,0.05839597090938986,704,250,0.9149645980964967,119,221,68,52,939,9612.682103383679
20230927,b3aae0c1-8e21-4100-9def-5093d454022f,cae7a02f-b2b3-4619-ad4d-620f470a7182,on_demand,not_subscribed,US,3272,21,267,914,25,3805.361074154436,2657.4214368513735,0.433354,554,238,198,0.9415941922594221,117,6,0.8948966405706605,560,336,0.5029125951742137,328,334,0.24724792409278162,151,117,627,330,196,3120.5025015603405
20230927,b3aae0c1-8e21-4100-9def-5093d454022f,723ad3be-64b7-4c4e-8086-85ea199c2979,on_demand,not_subscribed,US,297,41,893,358,304,436.898577699123,593.3870043329595,0.04263,240,322,59,0.3661494600353338,304,65,0.5785338560243403,597,284,0.585199965169277,881,25,0.9437005703151857,307,99,239,347,695,7620.950904330894
20230928,b3aae0c1-8e21-4100-9def-5093d454022f,45fc30f6-2682-42eb-8a7b-cc51d8077c48,live,not_subscribed,UA,9608,139,999,531,31,829.6181100168043,1236.32815371846,0.533125,126,227,55,0.24766910659697217,425,206,0.535441477013778,696,371,0.12367800230712356,965,159,0.6578758545715387,294,343,349,304,181,1637.9430306435484
20230924,b3aae0c1-8e21-4100-9def-5093d454022f,45fc30f6-2682-42eb-8a7b-cc51d8077c48,live,not_subscribed,US,9886,182,436,671,64,3081.807296894932,463.5024728638246,0.137202,401,313,69,0.1804940015070564,340,97,0.2868062635131222,500,323,0.4162098909372801,205,295,0.6327684293874022,879,366,790,431,501,9527.377056944191
20231001,b3aae0c1-8e21-4100-9def-5093d454022f,cae7a02f-b2b3-4619-ad4d-620f470a7182,on_demand,subscribed,US,3106,320,901,633,116,8987.382709071646,1908.4919502782961,0.625041,273,19,53,0.8146569267312722,62,19,0.7036110941773749,215,154,0.7175131171742725,589,215,0.00574030750383947,814,277,532,310,411,4819.386911859251
20230927,b3aae0c1-8e21-4100-9def-5093d454022f,45fc30f6-2682-42eb-8a7b-cc51d8077c48,live,subscribed,SE,3674,83,889,556,441,4846.9610807664485,55.46457995186904,0.095436,987,406,181,0.7817540021683135,156,207,0.42487107647795685,56,243,0.45628155060919606,681,332,0.06769014380174421,15,91,737,210,1,9749.019268080167
20230926,b3aae0c1-8e21-4100-9def-5093d454022f,a5ce5123-bc8f-432f-af10-5b7046808e77,on_demand,subscribed,SL,9200,499,818,904,48,1538.8506091682696,742.2634988317579,0.695265,380,213,221,0.02710899690057811,165,71,0.13234885255500217,127,294,0.9870364435130791,698,343,0.08450027429547413,962,16,764,219,827,2400.0875816268017
20231001,b3aae0c1-8e21-4100-9def-5093d454022f,cae7a02f-b2b3-4619-ad4d-620f470a7182,live,not_subscribed,VU,3764,338,672,386,316,9585.69468640441,1848.7219421140617,0.963776,387,409,109,0.580876130912073,300,191,0.6807771757069729,101,166,0.8684465548413679,304,135,0.3084991806870039,834,324,332,408,102,246.63724690541343
20230926,b3aae0c1-8e21-4100-9def-5093d454022f,a5e5043e-d12f-4ebd-aa76-f27de0d1bdbb,live,not_subscribed,US,2514,388,993,781,285,6111.220073733161,1387.433515019449,0.459802,761,426,44,0.30927906562161367,157,208,0.9055975905440232,350,408,0.20632862864452106,266,78,0.7650462779940801,421,151,417,273,642,8328.17361616174
20230928,b3aae0c1-8e21-4100-9def-5093d454022f,a5e5043e-d12f-4ebd-aa76-f27de0d1bdbb,on_demand,subscribed,RS,9779,347,589,999,68,4557.962749639624,1505.8145617659634,0.064363,417,51,91,0.03094393475099555,470,173,0.6727940289741764,438,60,0.5148231098504944,97,116,0.1440565594859864,961,372,162,441,507,1542.2020999020913
